,,,,,,,,,
,,all unique parts that need to be ordered,,,,,,,
,,,,,,,,,
,Part (modified),Description,SUM of Quantity Installed,AVERAGE of Quantity Available (manual),Difference,supplier_name,supplier_part_number,supplier_2_name,supplier_2_part_number
,100-00483,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 44"" LONG",4,0,-4,,,,
,100-00484,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 20.4"" LONG",2,0,-2,,,,
,100-00485,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 21"" LONG",1,0,-1,,,,
,100-00486,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 13"" LONG",2,0,-2,,,,
,100-00507,RO MEMBRANE FLUSH PUMP BRAKCET,1,0,-1,,,,
,120-00011,"FLANGE NUT, M8 X1.25, CLASS 8 ZP",10,60,170,MCMASTER-CARR,90374A114,,
,120-00013,"SCREW, M5 X 0.8 - 16 MM, FLANGE HHCS, CLASS 8.8 ZYP",2,188,186,MCMASTER-CARR,94036A522,,
,120-00048,"SCREW, M6 X 1.0 X 20 MM, BHCS, ZN",42,152,566,BELMETRIC,SB6X20CLZ,,
,120-00049,"SCREW, M5 X 2.24 MM, 12MM LONG, THREAD FORMING, STEEL, ZN PLATED",4,46,42,MCMASTER-CARR,90380A388,,
,120-00050,"NUT M6 X 1 MM, FLANGED, CLASS 10, STEEL, ZN PLATED",6,94,88,MCMASTER-CARR,95003A101,,
,120-00052,"WASHER, SEALING, 0.5 IN, PTFE, WHITE",7,0,-7,MCMASTER-CARR,96371A207,,
,120-00053,"WASHER, SEALING, 0.25 IN, PTFE, WHITE",4,1,-3,MCMASTER-CARR,96371A201,,
,120-00055,"WASHER, SEALING, 0.5 IN, 18-8SS, NEOPRENE",1,9,8,MCMASTER-CARR,94709A518,,
,120-00056,"FLANGE NUT, M6 X1, CLASS 8 ZP",2,17,15,MCMASTER-CARR,90374A112,,
,120-00057,"SCREW, 10-32, 3/8 LONG, BUTTON HEAD, 18-8SS",6,86,166,MCMASTER-CARR,92949A263,,
,120-00058,"SCREW, M6 X 1.0, 20MM LONG, HEX FLANGE, CLASS 8.8, ZN",85,191,1061,BELMETRIC,BF6X20CLZ,MCMASTER-CARR,94036A221
,120-00059,"SCREW, M6 X 1.0, 20MM LONG, BUTTON HEAD, 18-8SS",6,19,13,MCMASTER-CARR,92095A240,,
