Part Number,Description,Qty Required,Preferred Vendor,Notes
140-00350,"THERMOCOUPLE -TYPE K , SURFACE ADHESIVE, UNGROUNDED, 10FT,  TEMP -68 TO 260 C",,Evolution Sensors and Controls,supplier PN: K5X-TAPE-REC-FW-1-PFXX-120-MPCX
140-00351,"SENSOR, FLOW, IFM, 1/2"" NPT, SU6621",,ifm,supplier PN: SU6621
140-00353,"FLOW SWITCH, 1/4"" TUBING",,AMERITROL,supplier PN: IM-2525
140-00355,"SANITARY SAMPLE COOK VALVE, 1/2"" NPT",,TRYNOX,supplier PN: TSCVMC0.5
140-00356,"ELBOW, 0.5 COMP x 0.5 MNPT, 90 DEGREE, 316SS",,Superlok,supplier PN: SME8-8N-S316
140-00357,"CONNECTOR, WYE, 0.5 PUSH TO CONNECT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T632
140-00358,"ELBOW, 90 DEGREE, 0.5 PUSH TO CONNECT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T54
140-00359,"ADAPTER, 0.5 FNPT, 0.5 PUSH TO CONNECT, BRASS, NICKEL PLATED",,MCMASTER-CARR,supplier PN: 7880T177
140-00360,"ADAPTER, STRAIGHT, 0.5 PUSH TO CONNECT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T33
140-00361,"ELBOW, 90 DEGREE, 0.5 PUSH TO CONNECT, 0.5 MNPT, NYLON, BLACK",,MCMASTER-CARR,supplier PN: 5779K217
140-00362,"ADAPTER, 0.5"" ID BLOCK CLAMP, SCREW MOUNT",,MCMASTER-CARR,supplier PN: 3015T182
140-00364,"ADAPTER. 0.75 MNPT, 0.5 MNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K869 | alt: AMAZON B0G3WLDQLB
140-00365,"TEE, 0.75 FNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K435
140-00367,"ADAPTER, 0.375 MNPT, 0.125 FNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K162
140-00368,"ADAPTER, 0.5 PUSH TO CONNECT, 0.5 BSPT, BRASS, NICKEL PLATED",,MCMASTER-CARR,supplier PN: 5779K396
140-00369,"REDUCER, 1 BSPT, 0.5 BSPT, 316SS",,MCMASTER-CARR,supplier PN: 5273N215
140-00370,"BLOCK CLAMP, 1-11/16 ID, PP, DIN 3015-1",,MCMASTER-CARR,supplier PN: 3015T38
140-00371,"ADAPTER, 1-11/16"" ID BLOCK CLAMP, SCREW MOUNT",,MCMASTER-CARR,supplier PN: 3015T185
140-00372,"VALVE, SAMPLING, 0.5 MNPT, PVC",,MCMASTER-CARR,supplier PN: 3525N16
140-00373,"CLAMP, LOOP, 1.5 ID",,MCMASTER-CARR,supplier PN: 3225T9
140-00377,"VENT, BREATHER, 0.5 MNPT, 304 SS",,MCMASTER-CARR,supplier PN: 4456K14
140-00378,"PLUG, 0.5 NPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K144
140-00383,"DC FAN, 12VDC, 99CFM, 120MM",,Mechatronics Fan Group,supplier PN: LPH12A99-BWER5-PC-EX
140-00386,"CIRCULATION HEATER, CAST-X 500, UP TO 1500W, 110-240V, 316SS, 1/4IN OD TUBE",,Cast Aluminum Solutions,supplier PN: WX6E2A300D-EK00
140-00387,CIRCULATION HEATER INSULATION JACKET,,Cast Aluminum Solutions,supplier PN: 307-0-12-2
140-00388,"SENSOR, H2, DRAGER, 8344439",,DRAGER,supplier PN: 8344439
140-00389,PLACE HOLDER - H2 SENSOR - PROCESS ADAPTER,,DRAGER,supplier PN: 6812470
140-00402,"PUMP, CENTRIFUGAL, SS, ECOCIRC XL N 95-160",,Bell & Gossett,supplier PN: 104471LF
140-00403,"THERMISTOR, 10 kOHM, 0.25"" NPT, 2"" PROBE, 304 SS",,EI Sensor,supplier PN: ETP10076
140-00408,"Heat exchanger(140-00130) hardware - fastener, bolt and washer",,SWEP,supplier PN: NA
140-00409,RO-System,,Wood Bros,supplier PN: ROS200011
140-00410,"SOLENOID VALVE, 2-WAY NC ZERO DIF, 3/4IN NPT,  90PSI, 24VDC",,GC Valves,supplier PN: NS201YH16CPEG5
140-00411,"SOLENOID VALVE, 2-WAY NC, 1/2IN NPT,  100PSI, 24VDC",,GC Valves,supplier PN: NS211YH16CPDG4
140-00413,"TYPE K PIPE PLUG, THERMOCOUPLE, UNGROUNDED, 1/4"" NPT, SS BRAIDED WIRE, W/ CONNECTOR",,Evolution Sensors and controls,supplier PN: K1X-NPT4-250-UX-05-PFSB-72-MPCX
140-00416,BALLUFF CAPSENS AMP,,Balluff,supplier PN: BAE00KJ
140-00419,BALLUFF CAPSENS,,BALLUFF,supplier PN: BCW0004
140-00430,"PRESS SENSOR, 200PSIG, 4-20MA, 1/8-27 NPT",,DATAQ,supplier PN: 2000361-200HX-1
140-00431,"BALL VALVE, PNEUMATIC FAIL CLOSE",,HABONIM,supplier PN: C20 SR-2B FC
140-00432,"BALL VALVE, PNEUMATIC FAIL OPEN",,HABONIM,supplier PN: C20 SR-2B FO
140-00449,"ADAPTER, 0.5 COMP X 0.5 BSPP, NO GASKET, 316SS",,Superlok,supplier PN: SGMC8-8G-S316
140-00451,"GASKET, BSPP, BONDED VITON, 1/2"", 316SS",,Superlok,supplier PN: IBG-8-03-S316
140-00462,"PORT CONNECTOR, 0.5 IN COMP, 316 SS",,Superlok,supplier PN: SPC-8
140-00463,"NUT, COMPRESSION, 0.5 TUBE OD, 316SS",,Superlok,supplier PN: SN-8
140-00464,"FERRULE SET, COMPRESSION, 0.5 TUBE OD, 316SS",,Superlok,supplier PN: SFS-8
140-00465,"CAP, COMPRESSION, 1/2"", 316 SS",,Superlok,supplier PN: SP-8
140-00468,"INLINE TEE ADAPTER, 1/4"" OD, 1/8 NPT FEMALE",,MCMASTER-CARR,supplier PN: 5779K229
140-00469,"PRESS SENSOR, 100PSIG, 4-20MA, 1/8-27 NPT",,DATAQ,supplier PN: 2000361-100HX-1
140-00470,"BLACK VOVYO WATER PUMP, 24VDC, 88W, 25M, 25LPM",,VOVYO,supplier PN: VP60P-24250PWM
140-00471,"FEMALE CONNECTOR, 1/2"" OD, 1/2"" BSPP, PI451614CS",,JOHN GUEST,supplier PN: PI451614CS
140-00472,"STRAIGHT FITTING, MALE 1/2"" NPT X 1/2"" NPT, BLACK POLYPRO",,BANJO,supplier PN: NIP050-SH
140-00479,"CHECK VALVE, 1/2"" OD X 1/2"" OD, PUSH TO CONNECT",,MCMASTER-CARR,supplier PN: 3208K31
140-00481,"CONDENSOR, 8X120MM FAN, 0.5 IN BSPP, CU FIN, 316SS TUBE, 30 BAR MAX",,Changzhou VRcoolertech Refrigeration,supplier PN: VR-CYS08
140-00482,"CONDENSOR, 1x120MM FAN, 0.5 IN BSPP, CU FIN, 316SS TUBE, 30 BAR MAX",,Changzhou VRcoolertech Refrigeration,supplier PN: VR-CYS08
140-00483,"STRAIGHT ADAPTER, 1/4"" OD X 1/8"" BSPT MALE, 316 SS",,MCMASTER-CARR,supplier PN: 5672K67
140-00498,"ADAPTER, 0.25 COMP, 0.75 MNPT, 316SS",,Superlok,supplier PN: SMC-4-12-N
140-00500,"UNION, 0.25 COMP, 316SS",,Superlok,supplier PN: SU-4
140-00501,"FLOAT DRAIN, LIQUID, 0.75 FNPT IN, 0.5 FNPT OUT, 500 PSI MAX IN, 176 PSI MAX DIFF, 316SS",,Armstrong International,supplier PN: 11LD-3/4-176
140-00502,"BLOCK CLAMP, 2.5 IN, PP, DIN 3015-1",,MCMASTER-CARR,supplier PN: 3015t312
140-00503,"ADAPTER, 0.5"" ID BLOCK CLAMP, SCREW MOUNT",,MCMASTER-CARR,supplier PN: 3015T187
140-00504,"CORD GRIP, M12 KNOCKOUT, 0.08-0.2 CORD OD, SS",,MCMASTER-CARR,supplier PN: 7680K22
140-00505,"COMPRESSION 1/2"" OD X 3/4 MNPT ADAPTER, POLYPRO",,PARKER,supplier PN: P8MC12
140-00508,"SOLENOID VALVE, 2-WAY NC, 1/2IN NPT,  90PSI, 24VDC",,GC Valves,supplier PN: NS201YH16CPDG4
140-00512,"RIV NUT, M4X0.7, ZINC PLATED STEEL",,MCMASTER-CARR,supplier PN: 95105A167
